question_number,question,answer
6,Дали објавувате годишен финансиски извештај?,Не
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Не
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
6,Дали објавувате годишен финансиски извештај?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Не
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Не
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Не
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Не
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Не
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
7,Дали ги објавувате вашите истражувања и публикации во формат за симнување?,Да
8,Колку сте запознаени со концептот на отворени податоци?,Не сум запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,"Не сум запознаен/а, Делумно запознаен/а"
8,Колку сте запознаени со концептот на отворени податоци?,Солидно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Солидно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Не сум запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Солидно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Не сум запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Не сум запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Солидно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Не сум запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Солидно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Не сум запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Солидно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Солидно запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Не сум запознаен/а
8,Колку сте запознаени со концептот на отворени податоци?,Делумно запознаен/а
9,Што сметате дека се отворени податоци?,","
9,Што сметате дека се отворени податоци?,Па да бидат достапни за јавноста
9,Што сметате дека се отворени податоци?,Нема одговор
9,Што сметате дека се отворени податоци?,Нема одговор
9,Што сметате дека се отворени податоци?,Тие што може јавност да ги користи слободно
9,Што сметате дека се отворени податоци?,податоци од јавен карактер кои се достапни за секој
9,Што сметате дека се отворени податоци?,/
9,Што сметате дека се отворени податоци?,податоци од јавен карактер до кои имаме право на пристап на сите
9,Што сметате дека се отворени податоци?,јавно достапни податоци во формат кој може машина да го обработува
9,Што сметате дека се отворени податоци?,"Отворени , целосно јавно достапни податоци"
9,Што сметате дека се отворени податоци?,транспаретно работење
9,Што сметате дека се отворени податоци?,Податоци кои се читливи во машински формат и можат да се обработуваат.
9,Што сметате дека се отворени податоци?,Електронски податоци/документи во машински обработлив формат
9,Што сметате дека се отворени податоци?,Нема одговор
9,Што сметате дека се отворени податоци?,Транспарентност
9,Што сметате дека се отворени податоци?,Објава на истражувања и реализирана работа на здружението
9,Што сметате дека се отворени податоци?,"Отворени податоци се машински обработливи податоци, во „необработена форма“ (на нивото од интерес), достапни во отворен формат и достапни на јавноста."
9,Што сметате дека се отворени податоци?,База на податоци кои може да се најдат online
9,Што сметате дека се отворени податоци?,Не сум запознаен
9,Што сметате дека се отворени податоци?,Нема одговор
9,Што сметате дека се отворени податоци?,Податоци кои што може слободно да се користат за различни цели
9,Што сметате дека се отворени податоци?,Нема одговор
9,Што сметате дека се отворени податоци?,Нема одговор
9,Што сметате дека се отворени податоци?,"Податоци кои се слободни за користење, вклучително и во комерцијални цели, без надомест, објавени проактивно (без претходни барања за истите), во соодветен отворен формат (во зависност од видот на податоците)."
9,Што сметате дека се отворени податоци?,Информации од јавен карактер добиени од официјални извори (институции)
9,Што сметате дека се отворени податоци?,Податоци пристапни за граѓаните
9,Што сметате дека се отворени податоци?,Претпоставувам дека тоа значи дека податоците се достапни за сите заинтересирани страни
9,Што сметате дека се отворени податоци?,Нема одговор
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Повремено
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Повремено
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Повремено
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Многу малку
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Многу малку
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Многу малку
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Многу малку
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Многу малку
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Многу малку
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Повремено
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Повремено
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Многу малку
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Повремено
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Повремено
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Воопшто
10,Колку користите официјални отворени податоци од www.otvorenipodatoci.gov.mk?,Многу малку
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Многу малку
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Редовно
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Воопшто
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Многу малку
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Воопшто
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Редовно
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,"Многу малку, Повремено"
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Воопшто
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Редовно
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Многу малку
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Воопшто
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Многу малку
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Многу малку
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Многу малку
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Воопшто
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Многу малку
11,Колку користите од други извори нешто што може да се смета како отворени податоци (на пр. порталот на дкск)?,Повремено
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Воопшто
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Повремено
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Многу малку
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Повремено
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Воопшто
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Воопшто
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Повремено
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Повремено
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Многу малку
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Повремено
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Многу малку
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Многу малку
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Многу малку
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Воопшто
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Многу малку
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Воопшто
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Многу малку
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Многу малку
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Многу малку
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Редовно
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Редовно
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Повремено
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Редовно
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Воопшто
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Многу малку
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Редовно
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Многу малку
12,Kолку од вашите примарни истражувања објавувате како отворени податоци за други да ги користат?,Редовно
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Не
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Не
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Делумно
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Делумно
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Не
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Не
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Не
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Да
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Не
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Делумно
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Не
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Делумно
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Да
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Делумно
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Делумно
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Не
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Да
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Не
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Не
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Да
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Не
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Делумно
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Да
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Да
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Не
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Да
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Не
13,Дали сте запознаени со Стратегијата за отворени податоци на Владата?,Делумно
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Да
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Да
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Да
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Да
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Да
14,Дали сте посетувале некоја обука за отворени податоци?,Не
14,Дали сте посетувале некоја обука за отворени податоци?,Не
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Не
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Не
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Не
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Не
15,Дали имате технички вештини да ракувате со отворени податоци?,Не
15,Дали имате технички вештини да ракувате со отворени податоци?,Не
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Не
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
15,Дали имате технички вештини да ракувате со отворени податоци?,Не
15,Дали имате технички вештини да ракувате со отворени податоци?,Да
16,Дали би вложиле во техничко оспособување на вашиот персонал да ракува со отворени податоци?,Да
16,Дали би вложиле во техничко оспособување на вашиот персонал да ракува со отворени податоци?,Не
16,Дали би вложиле во техничко оспособување на вашиот персонал да ракува со отворени податоци?,Да
16,Дали би вложиле во техничко оспособување на вашиот персонал да ракува со отворени податоци?,Да
16,Дали би вложиле во техничко оспособување на вашиот персонал да ракува со отворени податоци?,Не
